Date,Open,High,Low,Close,Adj Close,Volume
1990-02-01,24.870001,24.870001,19.709999,21.990000,21.990000,0
1990-03-01,21.900000,22.740000,17.620001,19.730000,19.730000,0
1990-04-01,22.840000,24.160000,17.730000,19.520000,19.520000,0
1990-05-01,18.430000,20.139999,16.719999,17.370001,17.370001,0
1990-06-01,17.090000,19.360001,14.720000,15.500000,15.500000,0
1990-07-01,16.260000,23.680000,15.630000,21.110001,21.110001,0
1990-08-01,21.639999,36.470001,20.430000,29.900000,29.900000,0
1990-09-01,29.580000,30.559999,27.879999,29.110001,29.110001,0
1990-10-01,28.059999,33.980000,27.270000,30.040001,30.040001,0
1990-11-01,30.250000,30.870001,20.090000,22.160000,22.160000,0
1990-12-01,22.290001,26.379999,20.940001,26.379999,26.379999,0
1991-01-01,26.620001,36.200001,20.910000,20.910000,20.910000,0
1991-02-01,21.040001,23.600000,19.570000,21.230000,21.230000,0
1991-03-01,21.230000,21.230000,14.900000,16.879999,16.879999,0
1991-04-01,17.420000,20.120001,15.470000,18.240000,18.240000,0
1991-05-01,17.770000,18.379999,15.230000,15.930000,15.930000,0
1991-06-01,16.870001,19.549999,15.500000,19.549999,19.549999,0
1991-07-01,18.639999,20.290001,15.180000,15.180000,15.180000,0
1991-08-01,15.470000,21.190001,14.410000,14.460000,14.460000,0
1991-09-01,16.570000,18.219999,15.350000,15.850000,15.850000,0
1991-10-01,14.810000,18.580000,14.810000,15.480000,15.480000,0
1991-11-01,15.600000,21.920000,13.950000,20.260000,20.260000,0
1991-12-01,20.180000,20.570000,15.440000,19.309999,19.309999,0
1992-01-01,19.690001,20.299999,14.120000,17.400000,17.400000,0
1992-02-01,17.080000,19.309999,15.340000,16.680000,16.680000,0
1992-03-01,17.440001,21.059999,15.460000,16.180000,16.180000,0
1992-04-01,16.930000,21.440001,14.830000,15.530000,15.530000,0
1992-05-01,14.870000,17.760000,12.770000,13.860000,13.860000,0
1992-06-01,14.470000,18.530001,12.730000,13.350000,13.350000,0
1992-07-01,13.430000,16.360001,11.360000,13.170000,13.170000,0
1992-08-01,14.050000,16.520000,12.340000,13.580000,13.580000,0
1992-09-01,11.870000,15.420000,10.690000,14.280000,14.280000,0
1992-10-01,15.440000,25.129999,15.030000,16.150000,16.150000,0
1992-11-01,17.020000,17.920000,11.380000,13.010000,13.010000,0
1992-12-01,12.940000,13.890000,10.290000,12.570000,12.570000,0
1993-01-01,12.960000,15.060000,10.980000,12.420000,12.420000,0
1993-02-01,12.510000,16.650000,11.690000,13.160000,13.160000,0
1993-03-01,13.130000,16.370001,10.660000,12.530000,12.530000,0
1993-04-01,13.040000,15.450000,10.710000,12.420000,12.420000,0
1993-05-01,13.250000,15.110000,11.960000,13.470000,13.470000,0
1993-06-01,13.640000,15.880000,10.860000,11.260000,11.260000,0
1993-07-01,10.490000,14.370000,9.110000,11.730000,11.730000,0
1993-08-01,11.810000,13.250000,10.800000,11.850000,11.850000,0
1993-09-01,11.300000,18.309999,10.750000,12.990000,12.990000,0
1993-10-01,12.560000,14.790000,10.000000,11.460000,11.460000,0
1993-11-01,12.020000,16.459999,11.490000,13.760000,13.760000,0
1993-12-01,12.930000,14.760000,8.890000,11.660000,11.660000,0
1994-01-01,11.280000,13.420000,9.590000,10.630000,10.630000,0
1994-02-01,10.810000,16.309999,10.210000,14.870000,14.870000,0
1994-03-01,12.580000,21.940001,11.580000,20.450001,20.450001,0
1994-04-01,23.610001,28.299999,13.050000,13.770000,13.770000,0
1994-05-01,14.420000,16.650000,11.440000,13.030000,13.030000,0
1994-06-01,13.160000,17.709999,10.480000,14.970000,14.970000,0
1994-07-01,14.890000,15.630000,10.960000,11.130000,11.130000,0
1994-08-01,11.710000,13.340000,10.750000,11.970000,11.970000,0
1994-09-01,12.170000,16.080000,11.170000,14.280000,14.280000,0
1994-10-01,15.690000,17.219999,12.750000,14.560000,14.560000,0
1994-11-01,14.610000,19.570000,14.320000,15.950000,15.950000,0
1994-12-01,15.490000,18.160000,11.360000,13.200000,13.200000,0
